filename,OHS_issues,class
IMG_6617.jpg,"Cracks have developed on the road, leading to uneven and raised surface sections. The area shows visible transverse cracks, with some sections having seperated. Pedestrians may trip or lose balance due to the irregular or raised edges of the cracks.",Uneven Pavements
IMG_6618.jpg,well mantained Sport field with no visible unevenness. There are no occupational health and safety risks on the image,Uneven Pavements
IMG_6625.jpg,"A pothole has formed on the side road,  the damaged area consists of a depression or cavity in the road surface where the paving has broken away. Pedestrians could trip or twist an ankle, particularly in low-light conditions.",Uneven Pavements
IMG_6626.jpg,"Cracks have developed on the road, leading to uneven and raised or sunken surface sections. The affected area shows visible longitudinal and transverse cracks, with some sections having shifted or separated. Pedestrians may trip or lose balance due to the irregular or raised edges of the cracks.",Uneven Pavements
IMG_6628.jpg,"Cracks have developed on the road, leading to uneven and raised or sunken surface sections. The affected area shows visible transverse cracks. pedestrians may stumble due to irregular pavement levels, especially those with mobility difficult.",Uneven Pavements
IMG_6629.jpg,"Cracks have developed on the road side, leading to uneven and raised or sunken surface sections. The affected area shows visible transverse cracks. Pedestrians may stumble due to irregular pavement levels, especially those with mobility difficult.",Uneven Pavements
IMG_6630.jpg,"wall mantained road, with no visible uneveness. There are no occupational health and safety risks on the image",Uneven Pavements
IMG_6631.jpg,"Broken pieces of rocks on the road and there is visible unevenness with some parts sunken. Pedestrains may trip and fall, especially those with mobility difficulties or when visibility is low.",Uneven Pavements
IMG_6633.jpg,"A pothole has formed on the road, the damaged area consists of a depression or cavity in the road surface where the paving has broken away. Pedestrians could trip or twist an ankle, particularly in low-light conditions. Cars, bicycles, and motorcycles risk tire damage, wheel misalignment, or loss of control.",Uneven Pavements
IMG_6634.jpg,"A pothole has formed on the road, the damaged area consists of a depression or cavity in the road surface where the paving has broken away. There are also broken pieces of rocks scattered on the road. Pedestrians could trip or twist an ankle, particularly in low-light conditions. Cars, bicycles, and motorcycles risk tire damage, wheel misalignment, or loss of control.",Uneven Pavements
IMG_6635.jpg,"A pothole has formed on the road, the damaged area consists of a depression or cavity in the road surface where the paving has broken away. Pedestrians could trip or twist an ankle, particularly in low-light conditions. Cars, bicycles, and motorcycles risk tire damage, wheel misalignment, or loss of control.",Uneven Pavements
IMG-20251011-WA0004.jpg,"A pothole has formed on the road, the damaged area consists of a depression or cavity in the road surface where the paving has broken away. Pedestrians could trip or twist an ankle, particularly in low-light conditions. Cars, bicycles, and motorcycles risk tire damage, wheel misalignment, or loss of control.",Uneven Pavements
IMG20251010115431.jpg,"Damage pavement with a visible pothole formed. Pedestrians could trip or twist an ankle, particularly in low-light conditions",Uneven Pavements
IMG20251010115850.jpg,"Bricks on the pavement. Pedestrians could trip, particularly in low-light conditions",Uneven Pavements
IMG_6608.jpg,Image shows marked stairs with handrails therefore there is no OHS risk associated with this image,Fall Risks
IMG_6620.jpg,"No obvious marking on stairs. No handrails visible. This poses a fall risk, especially to to people with eyesight problems.",Fall Risks
IMG_6621.jpg,No obvious markings on stairs.No handrails visible. This poses a fall risk.,Fall Risks
IMG_6622.jpg,No obvious markings on stairs.No handrails visible. This poses a fall risk.,Fall Risks
IMG-20251011-WA0003,"Marked stairs with handrails, no obvious OHS risk in this image.",Fall Risks
IMG-20251011-WA0017.jpg,"No obvious marking on stairs. No handrails visible. This poses a fall risk, especially to to people with eyesight problems.",Fall risks
IMG-20251011-WA0018.jpg,Pothole that poses trip risk to pedestrians. ,Fall Risks
IMG-20251011-WA0021.jpg,"No obvious marking on stairs. No handrails visible. This poses a fall risk, especially to to people with eyesight problems.",Fall Risks
IMG-20251011-WA0025.jpg,Image shows marked stairs with handrails therefore there is no OHS risk associated with this image,Fall Risks
IMG-20251011-WA0026.jpg,Image shows marked stairs with handrails therefore there is no OHS risk associated with this image,Fall Risks
IMG_6593.jpg,Fire extinguisher mounted properly with proper signage. No obvious OHS risk in this image,Unclear Emergency signs and exits
IMG_6596.jpg,Clear sign. Obvsious OHS risk in this image.,Unclear Emergency signs and exits
IMG_6615.jpg,Clear emergency assembly point sign. No obvious OHS risk in this image,Unclear Emergency signs and exits
IMG_6616.jpg,Additional parking sign in an uncleared area covered by grass. This can cause blocked parking spaces and potential minor car collisions due to lack of parking space.,Unclear Emergency signs and exits
IMG_6619.jpg,Emergency assembly point mark in a blocked area by trees. People might not be able to assemble at this area in the case of an emergency,Unclear Emergency signs and exits
IMG_6623.jpg,Clear unathourised entry sign. No obvious OHS  risk in this image.,Unclear Emergency signs and exits
IMG_6624.jpg,Unclear entrance direction sign risking people getting lost.,Unclear Emergency signs and exits
IMG_6627.jpg,Clear advertisement sign,Unclear Emergency signs and exits
IMG_6639.jpg,Clear direction signs. No obvious OHS risk in this image.,Unclear Emergency signs and exits
IMG_6647.jpg,Small and unclear Assemblby point sign blocked by a tree. People might not be able to assemble at this area during an emergency.,Unclear Emergency signs and exits
IMG_6652.jpg,Clear Instruction sign. No obvious OHS risk in this image.,Unclear Emergency signs and exits
IMG_6654.jpg,Clear assembly point emergency sign. No obvious OHS risk in this image,Unclear Emergency signs and exits
IMG_6655.jpg,Instruction sign in a secluded area which might not be visible to other people.,Unclear Emergency signs and exits
IMG_6656.jpg,Clear direction sign. No obvious OHS risk in this image.,Unclear Emergency signs and exits
IMG_6657.jpg,Clear direction sign. No obvious OHS risk in this image.,Unclear Emergency signs and exits
IMG_20251010_115622.jpg,Vehicle instruction sign blocked by trees. This poses an accident risk as drivers of cars with the undesired weight can miss the sign.,Unclear Emergency signs and exits
IMG_20251010_115654.jpg,Vehicle instruction sign blocked by trees. This poses an accident risk as drivers of cars with the undesired weight can miss the sign.,Unclear Emergency signs and exits
IMG-20251011-WA0006.jpg,Clear stop sign. No obvious OHS risk in this image.,Unclear Emergency signs and exits
IMG-20251011-WA0008.jpg,Clear information sign. No obvious OHS risk in this image.,Unclear Emergency signs and exits
IMG-20251011-WA0010.jpg,Clear evacuation sign. No obvious OHS risk in this image.,Unclear Emergency signs and exits
IMG-20251011-WA0011.jpg,Clear direction sign. No obvious OHS risk in this image.,Unclear Emergency signs and exits
IMG-20251011-WA0012.jpg,Clear direction sign. No obvious OHS risk in this image.,Unclear Emergency signs and exits
IMG-20251011-WA0014.jpg,Clear speed limit sign. No obvious OHS risk in this image,Unclear Emergency signs and exits
IMG-20251011-WA0015.jpg,Unclear direction sign as it does not explain what it stands for risking people getting lost.,Unclear Emergency signs and exits
IMG-20251011-WA0016.jpg,Stop sign blocked by a tree posing an accident risk where vehicles can hit pedentrians due to the invisible sign.,Unclear Emergency signs and exits
IMG-20251011-WA0019.jpg,Clear Instruction sign. No obvious OHS risk in this image.,Unclear Emergency signs and exits
IMG-20251011-WA0023.jpg,Damaged and shredding assembly point emergency sign. People might not be able to locate the assembly point in the case of an emergency.,Unclear Emergency signs and exits
IMG20251010123458.jpg,Fire exit blocked by the poster causing a safety issue as people might not be able to use it in the case of a fire.,Unclear Emergency signs and exits
IMG20251010123507.jpg,Fire exit blocked by the poster causing a safety issue as people might not be able to use it in the case of a fire.,Unclear Emergency signs and exits
